identifier,model,country,province_state,CityRev,Latitude,Longitude,readable_city,Selected_Source,building_type_pre,floor_area_sqft,number_floors,building_age_yrs,number_occupants,allow_comp_with_aux,has_electric,has_heatpump,number_remote_sensors,ASHRAE,CA_Title24_Zone,geometry,GEOID_place,NAME_place,LSAD_place,GEOID_county,NAME_county,STATEFP_county
002aab87db1d9e8ce470f80f23c97c59de5f4dcd,ecobee3,US,CA,San Marcos City,33.132567,-117.169892,Yes,census.gov,Detached,3500,2,15,4,False,False,False,"1, 2",3B,10,POINT (-117.169892 33.132567),668196.0,San Marcos,25.0,6073,San Diego,6
007abe6be34cf8afca3f5784ea0de5a2e8414694,undefined,US,CA,Palo Alto City,37.39652,-122.143088,Yes,census.gov,Detached,3500,1,15,4,False,False,False,"0, 1",3C,4,POINT (-122.143088 37.39652),655282.0,Palo Alto,25.0,6085,Santa Clara,6
00b030653b8158eae4f7feffc67f4fb42a6899ba,ecobee3Lite,US,CA,Irvine City,33.678399,-117.771254,Yes,census.gov,Detached,3000,2,15,5,False,False,False,0,3B,8,POINT (-117.771254 33.678399),636770.0,Irvine,25.0,6059,Orange,6
012888c467a0af004d4325419386e270c63bf97a,ecobee4,US,CA,Newark City,37.504253,-122.03191,Yes,census.gov,Detached,1500,1,60,0,False,False,False,"3, 6",3C,3,POINT (-122.03191 37.504253),650916.0,Newark,25.0,6001,Alameda,6
01291b0ec0b4d2a0c4b8dc7438a770ab0249dd5b,ecobee3,US,CA,Brawley City,32.978454,-115.528569,Yes,census.gov,Other,3000,1,0,4,False,False,False,"1, 2",2B,15,POINT (-115.528569 32.978454),608058.0,Brawley,25.0,6025,Imperial,6
0142e14e4f96a70a81af5c1656ce6cdfb600c5dd,ESTWVC,US,CA,Campbell City,37.280244,-121.953296,Yes,census.gov,Townhouse,1001,3,41,0,True,False,False,"2, 4",3C,4,POINT (-121.953296 37.280244),610345.0,Campbell,25.0,6085,Santa Clara,6
015c8c0912e66d6e78b39432d82bdb21f31b941b,ecobee3Lite,US,CA,La Palma City,33.850616,-118.039565,Yes,census.gov,Row House,2500,2,50,0,False,False,False,0,3B,8,POINT (-118.039565 33.850616),640256.0,La Palma,25.0,6059,Orange,6
01b1fc32f7e2bdd4d4b8737b0eabab18f127bd73,ESTWVC,US,CA,San Diego City,32.830391,-117.120923,Yes,census.gov,Detached,1001,1,62,0,True,False,False,"0, 1",3B,7,POINT (-117.120923 32.830391),666000.0,San Diego,25.0,6073,San Diego,6
021378323fe5986ca191d79fbc704f99d6a2c6a6,ESTWVC,US,CA,Los Angeles City,34.019394,-118.410825,Yes,census.gov,Other,2001,2,90,0,True,False,True,"1, 2",3B,8,POINT (-118.410825 34.019394),644000.0,Los Angeles,25.0,6037,Los Angeles,6
0287ef9756b69dcab8e8c12050ccfba0b2ca14be,ecobee4,US,CA,Los Angeles City,34.019394,-118.410825,Yes,census.gov,Detached,1500,1,0,3,False,False,False,"1, 2",3B,8,POINT (-118.410825 34.019394),644000.0,Los Angeles,25.0,6037,Los Angeles,6
0298be22f66edc3f394bb5cd12d84bba97c9d573,ecobee4,US,CA,Palmdale City,34.591038,-118.105403,Yes,census.gov,Detached,4000,2,17,0,False,False,False,"0, 1, 2",3B,14,POINT (-118.105403 34.591038),655156.0,Palmdale,25.0,6037,Los Angeles,6
02b6640c479be7ca15b050180d24ee4220b5b512,ecobee4,US,CA,Canyon Country,34.4165,-118.4559,Yes,google,Detached,2000,2,10,4,False,False,False,"0, 1, 2",3B,9,POINT (-118.4559 34.4165),669088.0,Santa Clarita,25.0,6037,Los Angeles,6
02c4728d18d70bd67fc2f7aeaa0dbfba630e47f8,ESTWVC,US,CA,Los Angeles City,34.019394,-118.410825,Yes,census.gov,Detached,2001,2,82,0,True,False,False,"2, 5",3B,8,POINT (-118.410825 34.019394),644000.0,Los Angeles,25.0,6037,Los Angeles,6
0318dccfe379517a81056752b521dcea86f92613,ESTWVC,US,CA,Fresno City,36.782684,-119.793359,Yes,census.gov,Detached,6501,2,31,0,True,False,False,"1, 2",3B,13,POINT (-119.793359 36.782684),627000.0,Fresno,25.0,6019,Fresno,6
